[GENERAL]
DATE=August 08, 2025 at 12:19:10
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY

746582.722257844_1841285.25278903,746582.722257844,1841285.25278903
746582.727399369_1841284.75265283,746582.727399369,1841284.75265283
746582.732328739_1841284.25240345,746582.732328739,1841284.25240345
746582.740211417_1841283.45244229,746582.740211417,1841283.45244229
746871.975163392_1841819.38123594,746871.975163392,1841819.38123594
746871.983059782_1841818.58127491,746871.983059782,1841818.58127491
746871.987997738_1841818.08102449,746871.987997738,1841818.08102449
746871.993041124_1841817.58088603,746871.993041124,1841817.58088603
746956.224229834_1841663.04555571,746956.224229834,1841663.04555571
746956.229166676_1841662.54552652,746956.229166676,1841662.54552652
746956.234107364_1841662.04516524,746956.234107364,1841662.04516524
746956.242006372_1841661.24520424,746956.242006372,1841661.24520424
746972.651454205_1841662.80966978,746972.651454205,1841662.80966978
746999.745332818_1841618.06644362,746999.745332818,1841618.06644362
747000.545292556_1841618.07446968,747000.545292556,1841618.07446968
747001.045476672_1841618.07948807,747001.045476672,1841618.07948807
747001.545768785_1841618.08439701,747001.545768785,1841618.08439701
747318.931214862_1841075.78300364,747318.931214862,1841075.78300364
747318.936264949_1841075.28297489,747318.936264949,1841075.28297489
747318.941212165_1841074.78261284,747318.941212165,1841074.78261284
747318.949121597_1841073.98265194,747318.949121597,1841073.98265194
747351.134299885_1841069.18161967,747351.134299885,1841069.18161967
747809.319225177_1843898.59525669,747809.319225177,1843898.59525669
747809.327167925_1843897.79529612,747809.327167925,1843897.79529612
747809.332134908_1843897.29504222,747809.332134908,1843897.29504222
747809.337207307_1843896.79490028,747809.337207307,1843896.79490028
747819.840956471_1841359.59699134,747819.840956471,1841359.59699134
747961.196152558_1843137.19095666,747961.196152558,1843137.19095666
747961.996111855_1843137.1990265,747961.996111855,1843137.1990265
747962.496156586_1843137.20407086,747962.496156586,1843137.20407086
747962.996416022_1843137.20900701,747962.996416022,1843137.20900701
747986.234803494_1841029.17004729,747986.234803494,1841029.17004729
747986.73500319_1841029.17519771,747986.73500319,1841029.17519771
747987.235206747_1841029.18001602,747987.235206747,1841029.18001602
747988.035169634_1841029.18772182,747988.035169634,1841029.18772182
747990.960587596_1840996.30465789,747990.960587596,1840996.30465789
748077.267201604_1843341.47617882,748077.267201604,1843341.47617882
748205.568228734_1838064.94878859,748205.568228734,1838064.94878859
748206.368189972_1838064.95666374,748206.368189972,1838064.95666374
748206.86835566_1838064.96158758,748206.86835566,1838064.96158758
748207.368625511_1838064.96673406,748207.368625511,1838064.96673406
748416.288784233_1843725.86563515,748416.288784233,1843725.86563515
748416.296748517_1843725.06567479,748416.296748517,1843725.06567479
748416.301727883_1843724.56552994,748416.301727883,1843724.56552994
748416.306601832_1843724.06527317,748416.306601832,1843724.06527317
748421.153236646_1841864.91199745,748421.153236646,1841864.91199745
748462.930787405_1843554.93332053,748462.930787405,1843554.93332053
748469.068078032_1843522.51916819,748469.068078032,1843522.51916819
748513.910195328_1842190.01744026,748513.910195328,1842190.01744026
748514.055102244_1842190.49608218,748514.055102244,1842190.49608218
748514.193152384_1842190.97696918,748514.193152384,1842190.97696918
748523.79797097_1841858.24848056,748523.79797097,1841858.24848056
748523.803051952_1841857.7484481,748523.803051952,1841857.7484481
748523.808030088_1841857.24808232,748523.808030088,1841857.24808232
