[GENERAL]
DATE=August 08, 2025 at 12:19:50
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY

766484.78473442_1833463.04877653,766484.78473442,1833463.04877653
766484.789783297_1833462.5483573,766484.789783297,1833462.5483573
766484.794829419_1833462.04815948,766484.794829419,1833462.04815948
766484.80289961_1833461.24820019,766484.80289961,1833461.24820019
766786.695795093_1833591.88137482,766786.695795093,1833591.88137482
767509.319816715_1834194.5450339,767509.319816715,1834194.5450339
767509.327758624_1834193.74507332,767509.327758624,1834193.74507332
767509.332724573_1834193.24487074,767509.332724573,1834193.24487074
767509.337691902_1834192.74455746,767509.337691902,1834192.74455746
767564.947717129_1834106.00235211,767564.947717129,1834106.00235211
767565.578791978_1834105.22573419,767565.578791978,1834105.22573419
767651.539819529_1834539.82724544,767651.539819529,1834539.82724544
767651.547769218_1834539.02728494,767651.547769218,1834539.02728494
767651.552741138_1834538.52697108,767651.552741138,1834538.52697108
767651.557818439_1834538.02676927,767651.557818439,1834538.02676927
767664.592540741_1833045.81682488,767664.592540741,1833045.81682488
767664.59761288_1833045.31662363,767664.59761288,1833045.31662363
767664.602579627_1833044.81631033,767664.602579627,1833044.81631033
767664.610521054_1833044.01634975,767664.610521054,1833044.01634975
767669.079811349_1834161.65423242,767669.079811349,1834161.65423242
767687.044565862_1834193.55412398,767687.044565862,1834193.55412398
767727.195654802_1833561.13851825,767727.195654802,1833561.13851825
767745.34181281_1833584.91692571,767745.34181281,1833584.91692571
767746.838869383_1833701.8551807,767746.838869383,1833701.8551807
767762.38272468_1833691.6861543,767762.38272468,1833691.6861543
767767.183622419_1833702.48425355,767767.183622419,1833702.48425355
767775.533608194_1834204.84713958,767775.533608194,1834204.84713958
767782.165564343_1834254.19027023,767782.165564343,1834254.19027023
767793.558787015_1833557.91301552,767793.558787015,1833557.91301552
767794.059020184_1833557.91793886,767794.059020184,1833557.91793886
