              ==================================================================
              Product Information
              Tech-Gration Error Log File for VIETNAM 
              Version 8.1
              ==================================================================


              Extraction process

              Beginning Date 07-08-2025
              Beginning time 01:27:51:PM

Total Selected Network - 1
------------------------------------------------------------------

FeederID                             E7-471         
                       
Start DateTime                       07-08-2025  01:27:51:PM                                                                              


F09_PC03_DUONGDAY_TT OBJECTID-OH_3402     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3402     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3403     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3403     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3404     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3404     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3406     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3406     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3407     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3407     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3408     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3408     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3409     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3409     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3564     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3564     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3565     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3565     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3567     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3567     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3568     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3568     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3573     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3573     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3574     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3574     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3575     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3575     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3580     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3580     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3581     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3581     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3800     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3800     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3800     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3801     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3801     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3801     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3856     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3856     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3856     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3857     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3857     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3857     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3892     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3892     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3892     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3893     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3893     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3893     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3947     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3947     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3947     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3948     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3948     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3948     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3951     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3951     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3951     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3952     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3952     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3952     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4031     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4031     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4031     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4032     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4032     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4032     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4039     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4039     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4039     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4040     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4040     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4040     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4155     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4155     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4155     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4156     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4156     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4156     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4193     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4193     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4193     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4194     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4194     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4194     Data Not Avilable in ConductorMaterial/MaHieu

F04_PC03_MAYBIENAP_TT OBJECTID-DT_3008     Data Not Avilable in UNganMach
F04_PC03_MAYBIENAP_TT OBJECTID-DT_3008     Data Not Avilable in TonHaoKhongTai
F04_PC03_MAYBIENAP_TT OBJECTID-DT_3008     Data Not Avilable in CapDienApVao
F04_PC03_MAYBIENAP_TT OBJECTID-DT_3008     Data Not Avilable in CapDienApRa
F04_PC03_MAYBIENAP_TT OBJECTID-DT_3008     Data Not Avilable in CongSuat
F04_PC03_MAYBIENAP_TT OBJECTID-DT_3408     Data Not Avilable in TonHaoKhongTai

PC03_FCO IDTBDC-210PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-154PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-455PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-209PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-353PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-388PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-351PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-114PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-89PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-450PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-168PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-507PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-202PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-146PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-100PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-105PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-339PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-171PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-338PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-410PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-177PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-98PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-132PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-371PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-124PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-387PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-104PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-178PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-206PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-344PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-409PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-386PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-369PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-207PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-381PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-115PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-340PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-116PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-127PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-511PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-404PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-106PC03BB     Data Not Avilable in IDinhMuc

PC03_LBS IDTBDC-60PC03BB     Data Not Avilable in IDinhMuc
PC03_LBS IDTBDC-60PC03BB     Data Not Avilable in LoaiLBS

Status = Import Successful


End DateTime                         07-08-2025  01:29:25:PM


=================================================================================================================================================

Total Selected Network :   1           Total ImportFeeder :   1             Total FailedFeeder :  0     

Average Time/Feeder : 1.5699min 

================================================================================================================================================== 
