
[SWITCH SETTING]
FORMAT_SWITCHSETTING=SectionID,Location,EqID,DeviceNumber,DeviceStage,Flags,InitFromEquipFlags,CoordX,CoordY,ClosedPhase,Locked,RC,NStatus,PhPickup,GrdPickup,Alternate,PhAltPickup,GrdAltPickup,FromNodeID,FaultIndicator,Automated,SensorMode,Strategic,RestorationMode,ConnectionStatus,ByPassOnRestoration,Reversible

OH_11408,L,22 KV_400A,SW_3994,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_11412,S,22 KV_400A,SW_3995,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_10414,L,22 KV_400A,SW_3877,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_4729,L,22 KV_400A,SW_1898,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_11453,L,22 KV_400A,SW_4220,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_11413,L,22 KV_400A,SW_3911,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_4715,L,22 KV_400A,SW_1891,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_10672,L,22 KV_200A,SW_4198,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_10667,L,22 KV_630A,SW_4186,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_10388,L,22 KV_630A,SW_4175,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_10618,S,22 KV_630A,SW_4164,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_11348,L,22 KV_630A,SW_3855,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5496,L,22 KV_630A,SW_1903,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5583,S,22 KV_630A,SW_2018,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_5498,L,22 KV_630A,SW_1908,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5380,L,22 KV_630A,SW_2045,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5378,S,22 KV_630A,SW_2063,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_5381,L,22 KV_630A,SW_2059,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_11521,S,22 KV_630A,SW_4183,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_10600,S,22 KV_630A,SW_4185,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_10500,S,22 KV_630A,SW_3823,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
BB_10671,L,22 KV_630A,SW_4189,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_10616,L,22 KV_630A,SW_4168,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_11414,L,22 KV_630A,SW_3859,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_10601,L,22 KV_630A,SW_4169,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_11351,S,22 KV_630A,SW_4171,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
OH_11405,L,22 KV_630A,SW_4192,,0,0,0,0,7,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1
