
[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY

378108.19_2247739.68,378108.19,2247739.68
378109.43_2247739.3,378109.43,2247739.3
378110.05_2247739.11,378110.05,2247739.11
378110.13_2247739.35,378110.13,2247739.35
378110.67_2247738.93,378110.67,2247738.93
378170.63_2245058.8,378170.63,2245058.8
378180.13_2244868.92,378180.13,2244868.92
378184.75_2245198.99,378184.75,2245198.99
378184.75_2245199.0,378184.75,2245199.0
378207.32_2245468.68,378207.32,2245468.68
378218.05_2245641.19,378218.05,2245641.19
378229.87_2244819.73,378229.87,2244819.73
378235.66_2247700.69,378235.66,2247700.69
378239.25_2245838.6,378239.25,2245838.6
378245.19_2246012.74,378245.19,2246012.74
378257.3_2246195.89,378257.3,2246195.89
378270.41_2246496.24,378270.41,2246496.24
378271.54_2246324.38,378271.54,2246324.38
378305.7_2246657.84,378305.7,2246657.84
378306.56_2247611.04,378306.56,2247611.04
378328.27_2246800.26,378328.27,2246800.26
378361.84_2246872.88,378361.84,2246872.88
378362.7_2247536.31,378362.7,2247536.31
378374.99_2247390.33,378374.99,2247390.33
378384.5_2247175.43,378384.5,2247175.43
378388.47_2247003.35,378388.47,2247003.35
378410.93_2244795.51,378410.93,2244795.51
378585.5_2244779.05,378585.5,2244779.05
378815.71_2244755.6,378815.71,2244755.6
379020.52_2244744.7,379020.52,2244744.7
379033.2_2244743.56,379033.2,2244743.56
379138.44_2244736.2,379138.44,2244736.2
379246.87_2244732.02,379246.87,2244732.02
379368.43_2244859.29,379368.43,2244859.29
379532.16_2244806.95,379532.16,2244806.95
379553.14_2244721.41,379553.14,2244721.41
379690.1_2244681.74,379690.1,2244681.74
379736.5_2244566.81,379736.5,2244566.81
379736.95_2244570.78,379736.95,2244570.78
379737.29_2244566.73,379737.29,2244566.73
379737.74_2244570.7,379737.74,2244570.7
379738.71_2244564.99,379738.71,2244564.99
379738.89_2244566.58,379738.89,2244566.58
379739.16_2244568.95,379739.16,2244568.95
379739.34_2244570.55,379739.34,2244570.55
379739.46_2244571.79,379739.46,2244571.79
379740.48_2244566.43,379740.48,2244566.43
379740.93_2244570.39,379740.93,2244570.39
379742.08_2244566.27,379742.08,2244566.27
379742.53_2244570.23,379742.53,2244570.23
379742.7_2244564.6,379742.7,2244564.6
379742.88_2244566.19,379742.88,2244566.19
379743.15_2244568.56,379743.15,2244568.56
379743.33_2244570.15,379743.33,2244570.15
379743.67_2244566.11,379743.67,2244566.11
379744.12_2244570.08,379744.12,2244570.08
379748.79_2244593.95,379748.79,2244593.95
379823.02_2244731.59,379823.02,2244731.59
380005.09_2244693.4,380005.09,2244693.4
380087.01_2244707.66,380087.01,2244707.66
380191.98_2244708.05,380191.98,2244708.05
380299.68_2244801.51,380299.68,2244801.51
380345.38_2244843.12,380345.38,2244843.12
380477.91_2244946.98,380477.91,2244946.98
380624.39_2245042.7,380624.39,2245042.7
380700.62_2245112.82,380700.62,2245112.82
380814.14_2245203.91,380814.14,2245203.91
380954.85_2245305.32,380954.85,2245305.32
381062.62_2245392.34,381062.62,2245392.34
381186.65_2245472.39,381186.65,2245472.39
381197.78_2245481.26,381197.78,2245481.26
381235.74_2245460.77,381235.74,2245460.77
