[GENERAL]
DATE=November 18, 2022 at 16:21:06
CYME_VERSION=8.00
CYMDIST_REVISION=01

[SI]


[METERDEMAND SETTING]

FORMAT_METERDEMANDSETTING=DeviceType,DeviceNumber,DemandType,Value1A,Value2A,Value1B,Value2B,Value1C,Value2C,Disconnected


5,300140514,5,95,90,90,91,85,78,0
5,300140515,5,95,90,90,91,85,78,0
5,300140517,5,95,90,90,91,85,78,0
5,300140518,5,95,90,90,91,85,78,0
5,300140521,5,95,90,90,91,85,78,0
5,300140523,5,95,90,90,91,85,78,0
5,300140530,5,95,90,90,91,85,78,0
8,30014023,5,95,90,90,91,85,78,0
5,02DT311,5,95,90,90,91,85,78,0
5,1,7,97,98,98,98,98,98,0
5,2,7,97,98,98,98,98,98,0
5,3,7,97,98,98,98,98,98,0
5,4,7,97,98,98,98,98,98,0
8,1,1,1,1,1,1,1,1,1
5,111,1,1,1,1,1,1,1,1
8,111,1,2,2,2,2,2,2,0
5,1111,1,1,1,1,1,1,1,1
