
[UNDERGROUNDLINE SETTING]
FORMAT_UNDERGROUNDLINESETTING=SectionID,DeviceNumber,DeviceStage,Flags,InitFromEquipFlags,LineCableID,Length,NumberOfCableInParallel,Amps,Amps_1,Amps_2,Amps_3,Amps_4,ConnectionStatus,CoordX,CoordY,HarmonicModel,EarthResistivity,OperatingTemperature,Height,DistanceBetweenConductors,BondingType,CableConfiguration,DuctMaterial,Bundled,Neutral1Type,Neutral2Type,Neutral3Type,Neutral1ID,Neutral2ID,Neutral3ID,AmpacityDeratingFactor,FlowConstraintActive,FlowConstraintUnit,MaximumFlow

CA_4856,CA_4856,,0,0,3P_22 KV_240SQMM_XLPE,45.80363356,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_4857,CA_4857,,0,0,3P_22 KV_240SQMM_XLPE,49.44244417,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_5391,CA_5391,,0,0,3P_22 KV_95SQMM_XLPE,70.62451019,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_5434,CA_5434,,0,0,3P_22 KV_95SQMM_XLPE,29.41731056,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_5440,CA_5440,,0,0,3P_22 KV_95SQMM_XLPE,44.21512227,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_5446,CA_5446,,0,0,3P_22 KV_240SQMM_XLPE,132.41496683,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_5507,CA_5507,,0,0,3P_22 KV_185SQMM_XLPE,124.65953906,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_5596,CA_5596,,0,0,3P_22 KV_240SQMM_XLPE,33.10895537,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_5613,CA_5613,,0,0,3P_22 KV_240SQMM_XLPE,0.49966879,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_10406,CA_10406,,0,0,3P_22 KV_240SQMM_XLPE,240.49074555,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_10658,CA_10658,,0,0,3P_22 KV_70SQMM_XLPE,117.49993360,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_11464,CA_11464,,0,0,3P_22 KV_70SQMM_XLPE,0.49995665,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
CA_11719,CA_11719,,0,0,3P_22 KV_240SQMM_XLPE,240.49074555,1,0,0,0,0,0,0,0,0,2,100,25,0,10,0,2,0,1,29,29,29,,,,1,0,0,100
