
[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,DeviceStage,Flags,LoadType,Connection,Location

DT_1002,CC530092,,,SPOT,0,0
DT_926,CC530003,,,SPOT,0,0
DT_818,CC530159,,,SPOT,0,0
DT_942,CC530127,,,SPOT,0,0
DT_995,CC530078,,,SPOT,0,0
DT_866,CC530157,,,SPOT,0,0
DT_959,CC530099,,,SPOT,0,0
DT_905,CC530074,,,SPOT,0,0
DT_963,CC530057,,,SPOT,0,0
DT_876,CD530148,,,SPOT,0,0
DT_975,CC530088,,,SPOT,0,0
DT_828,CC530041,,,SPOT,0,0
DT_974,CC530079,,,SPOT,0,0
DT_804,CC530038,,,SPOT,0,0
DT_914,CD830212,,,SPOT,0,0
DT_837,CC530046,,,SPOT,0,0
DT_843,CC530056,,,SPOT,0,0
DT_1014,CC530076,,,SPOT,0,0
DT_889,CC530033,,,SPOT,0,0
DT_998,CC530043,,,SPOT,0,0
DT_1001,CC530064,,,SPOT,0,0
DT_814,CC530063,,,SPOT,0,0
DT_1011,CD530197,,,SPOT,0,0
DT_896,CC530065,,,SPOT,0,0
DT_1041,CC530158,,,SPOT,0,0
DT_851,CC530077,,,SPOT,0,0
DT_1000,CD530257,,,SPOT,0,0
DT_871,CD530218,,,SPOT,0,0
DT_1025,CC530089,,,SPOT,0,0
DT_854,CC530036,,,SPOT,0,0
DT_1055,CC530012,,,SPOT,0,0
DT_849,CC530081,,,SPOT,0,0
DT_878,CC530044,,,SPOT,0,0
DT_947,CD530245,,,SPOT,0,0
DT_935,CC530137,,,SPOT,0,0
DT_951,CD530157,,,SPOT,0,0
DT_1033,CC530075,,,SPOT,0,0
DT_867,DT_867,,,SPOT,0,0
DT_962,DT_962,,,SPOT,0,0
DT_981,DT_981,,,SPOT,0,0
