
[DEVICEUDD]
FORMAT_DEVICEUDD=DeviceNumber,DeviceType,DataId,DataType,DataValue
DT_804,5,DTCName,8,MBA HUỳnh Liên
DT_814,5,DTCName,8,MBA Phong Mỹ 3
DT_818,5,DTCName,8,MBA Trạch Tả
DT_828,5,DTCName,8,MBA Hòa bắc
DT_837,5,DTCName,8,Khe Trăng
DT_843,5,DTCName,8,MBA Nam Phong 1
DT_849,5,DTCName,8,MBA Phò trạch 7
DT_851,5,DTCName,8,MBA Phò Trạch 3
DT_854,5,DTCName,8,MBA Hạ Long
DT_866,5,DTCName,8,MBA Trạch Thượng
DT_867,5,DTCName,8,MBA Công an huyện Phong Điền
DT_871,5,DTCName,8,MBA TC TRẠM 220KV
DT_876,5,DTCName,8,MBA TH Ga Phò Trạch
DT_878,5,DTCName,8,MBA Huỳnh Trúc
DT_889,5,DTCName,8,MBA Đông Thái 2
DT_896,5,DTCName,8,MBA Phong Mỹ 5
DT_905,5,DTCName,8,MBA Phong Thu
DT_914,5,DTCName,8,MBA Trạm sạc Vinfast
DT_926,5,DTCName,8,MBA An Thôn
DT_935,5,DTCName,8,MBA Nam Phong 3
DT_942,5,DTCName,8,MBA Phò Trạch 9
DT_947,5,DTCName,8,MBA TT BTTT
DT_951,5,DTCName,8,MBA NM NƯỚC PHONG ĐIỀN
DT_959,5,DTCName,8,MBA Tây Phong
DT_962,5,DTCName,8,MBA Vi Sinh 1
DT_963,5,DTCName,8,MBA Nam Phong 2
DT_974,5,DTCName,8,MBA Phò Trạch 5
DT_975,5,DTCName,8,MBA Tân Mỹ 1
DT_981,5,DTCName,8,MBA TC Cầu Tỉnh Lộ 17
DT_995,5,DTCName,8,Phò Trạch 4
DT_998,5,DTCName,8,MBA Hưng Thái mới
DT_1000,5,DTCName,8,MBA Bơm cấp nước Viglacera
DT_1001,5,DTCName,8,MBA Phong Mỹ 4
DT_1002,5,DTCName,8,MBA Trường cấp 2_3 Phong Điền
DT_1011,5,DTCName,8,MBA Cao Su Huy Anh
DT_1014,5,DTCName,8,MBA Phò trạch 2 mới
DT_1025,5,DTCName,8,MBA Tân Mỹ 2
DT_1033,5,DTCName,8,MBA Phò Trạch 1
DT_1041,5,DTCName,8,Trạch Thượng 2
DT_1055,5,DTCName,8,MBA Bắc Ô Lâu
FU_1815,14,DTCName,8,Bộ FCO 477-7/277/1 Phong Mỹ 5
FU_1818,14,DTCName,8,Bộ FCO TBA TC Cầu Tỉnh Lộ 17
FU_1824,14,DTCName,8,Bộ FCO TBA Trạch Tả
FU_1829,14,DTCName,8,Bộ FCO TBA NM NƯỚC PHONG ĐIỀN
FU_1830,14,DTCName,8,Bộ FCO TBA Tân Mỹ 2
FU_1832,14,DTCName,8,Bộ FCO TBA Hòa bắc
FU_1844,14,DTCName,8,Bộ FCO rẽ trạm vinfast
FU_1867,14,DTCName,8,Bộ FCO TBA Phong Mỹ 4
FU_1868,14,DTCName,8,Bộ FCO TBA Khe Trăng
FU_1869,14,DTCName,8,Bộ FCO TBA Nam Phong 3
FU_1872,14,DTCName,8,Bộ FCO 477-7/84/1 Phò Trạch 7
FU_1884,14,DTCName,8,Bộ FCO 477-7/202/1 Hưng Thái
FU_1911,14,DTCName,8,Bộ FCO 477-7/360 Bắc Ô Lâu
FU_1912,14,DTCName,8,Bộ FCO 477-7/55 Cấp 2-3 Phong ĐIền
FU_1918,14,DTCName,8,Bộ FCO TBA Trường cấp 2_3 Phong Điền
FU_1919,14,DTCName,8,Bộ FCO TBA Trạch thượng 2
