
[FUSE SETTING]
FORMAT_FUSESETTING=SectionID,Location,EqID,DeviceNumber,DeviceStage,Flags,InitFromEquipFlags,CoordX,CoordY,ClosedPhase,Locked,RC,NStatus,TCCID,PhPickup,GrdPickup,Alternate,PhAltPickup,GrdAltPickup,FromNodeID,FaultIndicator,Strategic,RestorationMode,ConnectionStatus,ByPassOnRestoration,Reversible

CA_5398,L,22 KV_400A,FU_2209,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5328,L,22 KV_400A,FU_2073,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5046,L,22 KV_400A,FU_1818,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5020,L,22 KV_400A,FU_1830,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_4944,L,22 KV_400A,FU_1919,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_4821,S,22 KV_400A,FU_1952,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_4996,L,22 KV_400A,FU_2198,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_5579,S,22 KV_400A,FU_2113,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5014,L,22 KV_400A,FU_2213,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_4870,L,22 KV_400A,FU_2102,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_4936,L,22 KV_400A,FU_2197,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5028,L,22 KV_400A,FU_2072,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5108,L,22 KV_400A,FU_1829,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_4680,S,22 KV_400A,FU_2234,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5224,L,22 KV_400A,FU_1824,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5226,L,22 KV_400A,FU_1918,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5252,L,22 KV_400A,FU_2143,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_4831,S,22 KV_400A,FU_1911,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_4829,S,22 KV_400A,FU_2260,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_4888,L,22 KV_400A,FU_2151,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_4670,S,22 KV_400A,FU_2262,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5292,L,22 KV_400A,FU_2110,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5266,L,22 KV_400A,FU_2239,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5260,L,22 KV_400A,FU_1983,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_4878,L,22 KV_400A,FU_2256,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5064,L,22 KV_400A,FU_1867,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5150,L,22 KV_400A,FU_2109,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5092,L,22 KV_400A,FU_2190,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_4827,S,22 KV_400A,FU_1815,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
OH_5422,L,22 KV_400A,FU_1912,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_4886,L,22 KV_400A,FU_2196,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
BB_5118,L,22 KV_400A,FU_2253,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1
