
[OVERHEADLINE SETTING]
FORMAT_OVERHEADLINESETTING=SectionID,DeviceNumber,DeviceStage,Flags,InitFromEquipFlags,LineCableID,Length,ConnectionStatus,CoordX,CoordY,HarmonicModel,FlowConstraintActive,FlowConstraintUnit,MaximumFlow,SeriesCompensationActive,MaxReactanceMultiplier,SeriesCompensationCost

OH_4656,OH_4656,,0,0,3P_22 KV_ACSR-95SQMM,13.44371751,0,0,0,2,0,0,100,0,50,0
OH_4660,OH_4660,,0,0,3P_22 KV_ACSR-95SQMM,118.12587891,0,0,0,2,0,0,100,0,50,0
OH_4670,OH_4670,,0,0,3P_22 KV_ACSR-95SQMM,110.95370547,0,0,0,2,0,0,100,0,50,0
OH_4680,OH_4680,,0,0,3P_22 KV_ACV-70SQMM,225.86903994,0,0,0,2,0,0,100,0,50,0
OH_4682,OH_4682,,0,0,3P_22 KV_ACSR-95SQMM,18.60053198,0,0,0,2,0,0,100,0,50,0
OH_4709,OH_4709,,0,0,3P_22 KV_ACV-70SQMM,545.96933280,0,0,0,2,0,0,100,0,50,0
OH_4710,OH_4710,,0,0,3P_22 KV_ACV-70SQMM,34.02196870,0,0,0,2,0,0,100,0,50,0
OH_4716,OH_4716,,0,0,3P_22 KV_ACV-70SQMM,180.23605042,0,0,0,2,0,0,100,0,50,0
OH_4723,OH_4723,,0,0,3P_22 KV_ACSR-95SQMM,25.94165905,0,0,0,2,0,0,100,0,50,0
OH_4804,OH_4804,,0,0,3P_22 KV_ACV-185SQMM,684.63370610,0,0,0,2,0,0,100,0,50,0
OH_4805,OH_4805,,0,0,3P_22 KV_ACSR-95SQMM,142.01032972,0,0,0,2,0,0,100,0,50,0
OH_4806,OH_4806,,0,0,3P_22 KV_ACV-185SQMM,805.74582887,0,0,0,2,0,0,100,0,50,0
OH_4807,OH_4807,,0,0,3P_22 KV_ACV-70SQMM,744.34322716,0,0,0,2,0,0,100,0,50,0
OH_4808,OH_4808,,0,0,3P_22 KV_ACSR-70SQMM,251.40240902,0,0,0,2,0,0,100,0,50,0
OH_4809,OH_4809,,0,0,3P_22 KV_ACSR-95SQMM,1079.30188258,0,0,0,2,0,0,100,0,50,0
OH_4810,OH_4810,,0,0,3P_22 KV_ACSR-95SQMM,538.87894825,0,0,0,2,0,0,100,0,50,0
