[GENERAL]
DATE=August 08, 2025 at 12:20:54
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY

747520.55690059_1828251.9233496,747520.55690059,1828251.9233496
747561.484243327_1828217.07450789,747561.484243327,1828217.07450789
747561.489151525_1828216.57426096,747561.489151525,1828216.57426096
747561.494166506_1828216.07401527,747561.494166506,1828216.07401527
747561.502186132_1828215.27405547,747561.502186132,1828215.27405547
747750.088978846_1827988.38173024,747750.088978846,1827988.38173024
747750.094104231_1827987.88148535,747750.094104231,1827987.88148535
747750.09901477_1827987.38134868,747750.09901477,1827987.38134868
747750.106869107_1827986.58138724,747750.106869107,1827986.58138724
747780.832274449_1828023.64337461,747780.832274449,1828023.64337461
748174.73808589_1827724.83863583,748174.73808589,1827724.83863583
748174.743113486_1827724.3383886,748174.743113486,1827724.3383886
748174.748034295_1827723.83814013,748174.748034295,1827723.83814013
748174.755903298_1827723.03817883,748174.755903298,1827723.03817883
748755.478825204_1827589.61815776,748755.478825204,1827589.61815776
748755.483864577_1827589.11801965,748755.483864577,1827589.11801965
748755.488905231_1827588.61777082,748755.488905231,1827588.61777082
748755.496965857_1827587.81781143,748755.496965857,1827587.81781143
748891.6299199_1827582.22518117,748891.6299199,1827582.22518117
748897.835953508_1827535.86518479,748897.835953508,1827535.86518479
748915.539951439_1827694.35032447,748915.539951439,1827694.35032447
748915.547676704_1827693.55036177,748915.547676704,1827693.55036177
748915.552506582_1827693.05022069,748915.552506582,1827693.05022069
748915.557550032_1827692.55008207,748915.557550032,1827692.55008207
749632.786176203_1827131.15760796,749632.786176203,1827131.15760796
749632.791020853_1827130.65746506,749632.791020853,1827130.65746506
749632.796079082_1827130.15732462,749632.796079082,1827130.15732462
749632.804169562_1827129.35736553,749632.804169562,1827129.35736553
749999.966798272_1828412.92218531,749999.966798272,1828412.92218531
750001.771405878_1827036.33746979,750001.771405878,1827036.33746979
750036.187265382_1827321.91155441,750036.187265382,1827321.91155441
750042.201024295_1828546.63165397,750042.201024295,1828546.63165397
750042.208967183_1828545.8316934,750042.208967183,1828545.8316934
750042.213934256_1828545.3314393,750042.213934256,1828545.3314393
750042.218901327_1828544.83118521,750042.218901327,1828544.83118521
750103.273028901_1826178.7172748,750103.273028901,1826178.7172748
750103.277989328_1826178.21702146,750103.277989328,1826178.21702146
750103.282949751_1826177.71676812,750103.282949751,1826177.71676812
750103.290882019_1826176.91680745,750103.290882019,1826176.91680745
750996.28420296_1828312.71589672,750996.28420296,1828312.71589672
750996.289190157_1828312.21575069,750996.289190157,1828312.21575069
750996.294178647_1828311.71549394,750996.294178647,1828311.71549394
750996.302155738_1828310.91553371,750996.302155738,1828310.91553371
751088.919899416_1826452.58796356,751088.919899416,1826452.58796356
751088.924883698_1826452.08770729,751088.924883698,1826452.08770729
751088.929761183_1826451.58744979,751088.929761183,1826451.58744979
751088.937560771_1826450.78748781,751088.937560771,1826450.78748781
751106.086072776_1827991.70989329,751106.086072776,1827991.70989329
751106.091062725_1827991.20963636,751106.091062725,1827991.20963636
751106.095945885_1827990.7093782,751106.095945885,1827990.7093782
751106.103754537_1827989.90941631,751106.103754537,1827989.90941631
751107.351987972_1827993.05313637,751107.351987972,1827993.05313637
751107.356976661_1827992.55299015,751107.356976661,1827992.55299015
751107.361858563_1827992.05284266,751107.361858563,1827992.05284266
751107.369666931_1827991.25288077,751107.369666931,1827991.25288077
751188.830038442_1826434.4905744,751188.830038442,1826434.4905744
751189.318756345_1826434.3840171,751189.318756345,1826434.3840171
751994.092021467_1826647.09610766,751994.092021467,1826647.09610766
751994.099855405_1826646.29614602,751994.099855405,1826646.29614602
751994.104753315_1826645.79599653,751994.104753315,1826645.79599653
751994.109652521_1826645.29573632,751994.109652521,1826645.29573632
752021.153139696_1825813.70493305,752021.153139696,1825813.70493305
752021.15792987_1825813.20467186,752021.15792987,1825813.20467186
752021.163040436_1825812.7044144,752021.163040436,1825812.7044144
752021.171212707_1825811.90445614,752021.171212707,1825811.90445614
752194.334513872_1826430.0885462,752194.334513872,1826430.0885462
752194.344425605_1826429.08813678,752194.344425605,1826429.08813678
752291.530032172_1826339.21484227,752291.530032172,1826339.21484227
752315.658407806_1826367.40746965,752315.658407806,1826367.40746965
752345.933098241_1827089.70267816,752345.933098241,1827089.70267816
752346.272381648_1827090.07013521,752346.272381648,1827090.07013521
752346.606802275_1827090.44240664,752346.606802275,1827090.44240664
752756.913945402_1826128.60245305,752756.913945402,1826128.60245305
752757.348164682_1826128.35423839,752757.348164682,1826128.35423839
752757.803478321_1826128.14701456,752757.803478321,1826128.14701456
752925.510979283_1826034.00944192,752925.510979283,1826034.00944192
752925.516111634_1826033.50918179,752925.516111634,1826033.50918179
752925.520922288_1826033.00902858,752925.520922288,1826033.00902858
752925.528616621_1826032.20906558,752925.528616621,1826032.20906558
753469.998257415_1825747.60239578,753469.998257415,1825747.60239578
753470.006312327_1825746.80243633,753470.006312327,1825746.80243633
753470.011349549_1825746.30217347,753470.011349549,1825746.30217347
753470.016171867_1825745.80201881,753470.016171867,1825745.80201881
753475.649162662_1826192.79478985,753475.649162662,1826192.79478985
753475.654200251_1826192.2946375,753475.654200251,1826192.2946375
753475.659239144_1826191.79437445,753475.659239144,1826191.79437445
753475.667296725_1826190.99441503,753475.667296725,1826190.99441503
753497.304495053_1825650.79758181,753497.304495053,1825650.79758181
753497.445176343_1825651.27763934,753497.445176343,1825651.27763934
753807.50441559_1826218.57721238,753807.50441559,1826218.57721238
753848.370143655_1826220.42930429,753848.370143655,1826220.42930429
753848.869064166_1826220.39278653,753848.869064166,1826220.39278653
753941.822710863_1826767.87431009,753941.822710863,1826767.87431009
753941.830617816_1826767.07434917,753941.830617816,1826767.07434917
753941.835561437_1826766.57419398,753941.835561437,1826766.57419398
