
[INTERMEDIATE NODES]
FORMAT_INTERMEDIATENODE=SectionID,SeqNumber,CoordX,CoordY,IsBreakPoint,BreakPointLocation
               
OH_4646,1,752315.054474384,1827056.26805736,,
OH_4646,2,752275.341086242,1827018.26872893,,
OH_4646,3,752246.520300375,1826980.39968608,,
OH_4646,4,752209.380166281,1826941.43427091,,
OH_4646,5,752180.712792273,1826899.58032436,,
OH_4646,6,752172.255610707,1826846.67150967,,
OH_4646,7,752162.984779234,1826799.28667212,,
OH_4646,8,752122.611004269,1826771.90979437,,
OH_4646,9,752087.800285175,1826743.93391966,,
OH_4646,10,752048.633472835,1826713.80349927,,
OH_4646,11,752027.768169922,1826680.5661643,,
OH_4646,12,752020.066744424,1826639.32776285,,
OH_4646,13,752010.618083986,1826640.17485309,,
OH_4657,1,748905.551158164,1827505.2201847,,
OH_4657,2,748947.239906511,1827492.86026557,,
OH_4657,3,749042.528885848,1827463.2965747,,
OH_4657,4,749110.932540016,1827440.50622283,,
OH_4657,5,749177.097543026,1827417.36009027,,
OH_4657,6,749237.253807918,1827378.2010379,,
OH_4657,7,749310.626109562,1827332.22037208,,
OH_4657,8,749368.634076897,1827294.25332955,,
OH_4657,9,749424.128530613,1827261.1308178,,
OH_4657,10,749486.341913538,1827219.56041601,,
OH_4657,11,749550.038615223,1827179.22410441,,
OH_4657,12,749616.429922795,1827136.70608321,,
OH_4673,1,753906.112216357,1826216.19917107,,
OH_4673,2,753982.46440788,1826179.55231411,,
OH_4694,1,756004.701858441,1824877.12549828,,
OH_4694,2,755997.002631049,1824834.85629953,,
OH_4694,3,755993.42648217,1824765.12072229,,
OH_4694,4,756017.459985976,1824719.74007666,,
OH_4694,5,755987.405186316,1824367.78317646,,
OH_4694,6,755989.31511859,1824336.58921638,,
OH_4694,7,755987.433800123,1824277.90799656,,
OH_4696,1,753744.109622552,1826206.35095112,,
OH_4696,2,753700.277350556,1826200.28280282,,
OH_4696,3,753639.136771793,1826195.07689641,,
OH_4696,4,753575.824556774,1826200.95032572,,
OH_4696,5,753515.016440611,1826200.98098872,,
OH_4824,1,748244.552618254,1827672.1710579,,
OH_4824,2,748314.25069366,1827657.25386088,,
OH_4824,3,748373.262211176,1827641.98866267,,
OH_4824,4,748435.394482424,1827625.98015692,,
OH_4824,5,748494.988999671,1827615.7439995,,
OH_4824,6,748537.414836479,1827607.01646315,,
OH_4824,7,748597.860059185,1827585.18892122,,
OH_4824,8,748641.191229566,1827578.64432025,,
OH_4824,9,748693.434327755,1827566.32962736,,
OH_4824,10,748710.708779746,1827600.72382122,,
OH_4833,1,755528.608664009,1831757.18401822,,
OH_4833,2,755554.386581738,1831708.88608644,,
OH_4833,3,755582.273869578,1831653.74793766,,
OH_4833,4,755608.878813724,1831607.67546169,,
OH_4833,5,755632.465144831,1831564.00170644,,
OH_4833,6,755653.075152406,1831519.18520609,,
OH_4833,7,755676.314956126,1831477.7206988,,
OH_4833,8,755701.475405529,1831436.39081295,,
OH_4833,9,755721.287988108,1831395.77210541,,
OH_4833,10,755748.977060616,1831348.38303893,,
OH_4833,11,755775.388704925,1831300.64760579,,
OH_4833,12,755795.720987243,1831261.25191507,,
OH_4833,13,755823.857150508,1831212.20746786,,
OH_4833,14,755851.553242621,1831164.26485825,,
OH_4833,15,755872.979785473,1831122.66900956,,
OH_4834,1,756036.348732108,1831070.58657095,,
OH_4834,2,756109.484973584,1831027.0628161,,
