ObjectID,TransformerID,FeederID,Amp,KW,KVA,PF
508,BD530121,E7-471,429.73,292.4473541,297.716944,98.23
512,BD530129,E7-471,499.41,342.5313355,345.991248,99
518,BC530020,E7-471,469.01,321.7783058,324.930128,99.03
519,BC530189,E7-471,163.77,111.1566209,113.459856,97.97
524,BC530172,E7-471,140,95.149152,96.992,98.1
541,BC530163,E7-471,141.36,96.20077252,97.934208,98.23
544,BC530232,E7-471,52.08,34.14347301,36.081024,94.63
548,BC530139,E7-471,324.33,223.8644495,224.695824,99.63
549,BD530118,E7-471,752.6,461.8051137,521.40128,88.57
550,BC530177,E7-471,380.8,260.0456392,263.81824,98.57
554,BC530175,E7-471,418.9,286.0638609,290.21392,98.57
557,BC530165,E7-471,380.8,260.0456392,263.81824,98.57
566,BC530230,E7-471,400,175.749504,277.12,63.42
567,BC530208,E7-471,140,95.149152,96.992,98.1
572,BC530017,E7-471,304,202.3341798,210.6112,96.07
575,BC530144,E7-471,31.97,20.63605187,22.148816,93.17
578,BD530120,E7-471,429.73,292.4473541,297.716944,98.23
584,BC530048,E7-471,299.1,205.7037997,207.21648,99.27
587,BC530157,E7-471,242.61,162.8697216,168.080208,96.9
588,BC530127,E7-471,168.27,115.1435533,116.577456,98.77
594,BC530009,E7-471,248.3,169.7343442,172.02224,98.67
597,BC530028,E7-471,266.4,182.8454941,184.56192,99.07
600,BC530166,E7-471,380.8,260.0456392,263.81824,98.57
604,BC530186,E7-471,169.47,113.7691427,117.408816,96.9
613,BC530252,E7-471,227.28,153.5703323,157.459584,97.53
618,BC530013,E7-471,310.6,212.5369207,215.18368,98.77
625,BC530218,E7-471,169.47,113.7691427,117.408816,96.9
628,BC530118,E7-471,110.37,73.7345592,76.464336,96.43
634,BC530011,E7-471,609.73,417.3518927,422.420944,98.8
643,BC530015,E7-471,281.32,190.6107291,194.898496,97.8
647,BC530155,E7-471,331.24,225.6507047,229.483072,98.33
648,BC530006,E7-471,331.24,225.6507047,229.483072,98.33
654,BD530137,E7-471,5.82,3.959518272,4.032096,98.2
657,BC530185,E7-471,163.77,111.1566209,113.459856,97.97
658,BC530008,E7-471,528.07,359.5177447,365.846896,98.27
661,BC530010,E7-471,400.92,273.7854455,277.757376,98.57
670,BC530179,E7-471,380.8,260.0456392,263.81824,98.57
673,BC530246,E7-471,287.52,196.14619,199.193856,98.47
675,BC530012,E7-471,323.48,222.3140884,224.106944,99.2
686,BC530231,E7-471,380.8,258.7001661,263.81824,98.06
688,BC530004,E7-471,102.44,702.6072768,709.70432,99.03
690,BC530005,E7-471,415.08,283.7427773,287.567424,98.67
